n,CPU+Disk4,CPU+Disk3,CPU+Disk2,CPU+Disk1
1,0.3926,0.238,0.2814,0.2347
2,0.7852,0.476,0.5628,0.4694
3,1.1778,0.714,0.8442,0.7041
4,1.5704,0.952,1.1256,0.9388
5,1.963,1.19,1.407,1.1735
6,2.3556,1.428,1.6884,1.4082
7,2.7482,1.666,1.9698,1.6429
8,3.1408,1.904,2.2512,1.8776
9,3.5334,2.142,2.5326,2.1123
10,3.926,2.38,2.814,2.347
11,4.3186,2.618,3.0954,2.5817
12,4.7112,2.856,3.3768,2.8164
13,5.1038,3.094,3.6582,3.0511
14,5.4964,3.332,3.9396,3.2858
15,5.889,3.57,4.221,3.5205
16,6.2816,3.808,4.5024,3.7552
17,6.6742,4.046,4.7838,3.9899
18,7.0668,4.284,5.0652,4.2246
19,7.4594,4.522,5.3466,4.4593
20,7.852,4.76,5.628,4.694
21,8.2446,4.998,5.9094,4.9287
22,8.6372,5.236,6.1908,5.1634
23,9.0298,5.474,6.4722,5.3981
24,9.4224,5.712,6.7536,5.6328
25,9.815,5.95,7.035,5.8675
26,10.2076,6.188,7.3164,6.1022
27,10.6002,6.426,7.5978,6.3369
28,10.9928,6.664,7.8792,6.5716
29,11.3854,6.902,8.1606,6.8063
30,11.778,7.14,8.442,7.041
31,12.1706,7.378,8.7234,7.2757
32,12.5632,7.616,9.0048,7.5104
33,12.9558,7.854,9.2862,7.7451
34,13.3484,8.092,9.5676,7.9798
35,13.741,8.33,9.849,8.2145
36,14.1336,8.568,10.1304,8.4492
37,14.5262,8.806,10.4118,8.6839
38,14.9188,9.044,10.6932,8.9186
39,15.3114,9.282,10.9746,9.1533
40,15.704,9.52,11.256,9.388
41,16.0966,9.758,11.5374,9.6227
42,16.4892,9.996,11.8188,9.8574
43,16.8818,10.234,12.1002,10.0921
44,17.2744,10.472,12.3816,10.3268
45,17.667,10.71,12.663,10.5615
46,18.0596,10.948,12.9444,10.7962
47,18.4522,11.186,13.2258,11.0309
48,18.8448,11.424,13.5072,11.2656
49,19.2374,11.662,13.7886,11.5003
50,19.63,11.9,14.07,11.735
51,20.0226,12.138,14.3514,11.9697
52,20.4152,12.376,14.6328,12.2044
53,20.8078,12.614,14.9142,12.4391
54,21.2004,12.852,15.1956,12.6738
55,21.593,13.09,15.477,12.9085
56,21.9856,13.328,15.7584,13.1432
57,22.3782,13.566,16.0398,13.3779
58,22.7708,13.804,16.3212,13.6126
59,23.1634,14.042,16.6026,13.8473
60,23.556,14.28,16.884,14.082
61,23.9486,14.518,17.1654,14.3167
62,24.3412,14.756,17.4468,14.5514
63,24.7338,14.994,17.7282,14.7861
64,25.1264,15.232,18.0096,15.0208
65,25.519,15.47,18.291,15.2555
66,25.9116,15.708,18.5724,15.4902
67,26.3042,15.946,18.8538,15.7249
68,26.6968,16.184,19.1352,15.9596
69,27.0894,16.422,19.4166,16.1943
70,27.482,16.66,19.698,16.429
71,27.8746,16.898,19.9794,16.6637
72,28.2672,17.136,20.2608,16.8984
73,28.6598,17.374,20.5422,17.1331
74,29.0524,17.612,20.8236,17.3678
75,29.445,17.85,21.105,17.6025
76,29.8376,18.088,21.3864,17.8372
77,30.2302,18.326,21.6678,18.0719
78,30.6228,18.564,21.9492,18.3066
79,31.0154,18.802,22.2306,18.5413
80,31.408,19.04,22.512,18.776
81,31.8006,19.278,22.7934,19.0107
82,32.1932,19.516,23.0748,19.2454
83,32.5858,19.754,23.3562,19.4801
84,32.9784,19.992,23.6376,19.7148
85,33.371,20.23,23.919,19.9495
86,33.7636,20.468,24.2004,20.1842
87,34.1562,20.706,24.4818,20.4189
88,34.5488,20.944,24.7632,20.6536
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,